Loading assets\sibenik.obj...
	Number of vertices  = 40979
	Number of normals   = 12485
	Number of texcoords = 74011
	Number of materials = 0
	Number of shapes    = 1
	Number of triangles = 75283
Frame 0 time: 39.300 ms
Frame 1 time: 79.366 ms
Frame 2 time: 31.229 ms
Frame 3 time: 30.048 ms
Frame 4 time: 34.682 ms
Frame 5 time: 30.917 ms
Frame 6 time: 74.086 ms
Frame 7 time: 35.304 ms
Frame 8 time: 187.198 ms
Frame 9 time: 68.183 ms
Frame 10 time: 129.440 ms
Frame 11 time: 90.596 ms
Frame 12 time: 113.400 ms
Frame 13 time: 36.218 ms
Frame 14 time: 78.140 ms
Frame 15 time: 48.075 ms
Frame 16 time: 135.295 ms
Frame 17 time: 110.879 ms
Frame 18 time: 46.261 ms
Frame 19 time: 49.407 ms
Frame 20 time: 59.042 ms
Frame 21 time: 37.128 ms
Frame 22 time: 37.760 ms
Frame 23 time: 39.047 ms
Frame 24 time: 71.555 ms
Frame 25 time: 57.691 ms
Frame 26 time: 36.859 ms
Frame 27 time: 40.451 ms
Frame 28 time: 62.236 ms
Frame 29 time: 33.884 ms
Frame 30 time: 45.109 ms
Frame 31 time: 45.748 ms
Frame 32 time: 63.346 ms
Frame 33 time: 31.084 ms
Frame 34 time: 32.925 ms
Frame 35 time: 50.587 ms
Frame 36 time: 42.911 ms
Frame 37 time: 29.657 ms
Frame 38 time: 31.801 ms
Frame 39 time: 46.827 ms
Frame 40 time: 38.315 ms
Frame 41 time: 64.272 ms
Frame 42 time: 90.322 ms
Frame 43 time: 37.102 ms
Frame 44 time: 42.355 ms
Frame 45 time: 35.454 ms
Frame 46 time: 29.055 ms
Frame 47 time: 66.091 ms
Frame 48 time: 40.381 ms
Frame 49 time: 71.763 ms
Frame 50 time: 71.296 ms
Frame 51 time: 68.566 ms
Frame 52 time: 33.927 ms
Frame 53 time: 37.730 ms
Frame 54 time: 29.043 ms
Frame 55 time: 70.602 ms
Frame 56 time: 39.738 ms
Frame 57 time: 29.930 ms
Frame 58 time: 70.717 ms
Frame 59 time: 67.257 ms
Frame 60 time: 39.019 ms
Frame 61 time: 31.762 ms
Frame 62 time: 29.173 ms
Frame 63 time: 82.864 ms
Frame 64 time: 36.490 ms
Frame 65 time: 28.293 ms
Frame 66 time: 37.875 ms
Frame 67 time: 40.957 ms
Frame 68 time: 37.577 ms
Frame 69 time: 55.611 ms
Frame 70 time: 31.117 ms
Frame 71 time: 58.360 ms
Frame 72 time: 39.696 ms
Frame 73 time: 108.376 ms
Frame 74 time: 41.179 ms
Frame 75 time: 59.349 ms
Frame 76 time: 39.889 ms
Frame 77 time: 64.042 ms
Frame 78 time: 68.670 ms
Frame 79 time: 108.821 ms
Frame 80 time: 28.290 ms
Frame 81 time: 94.009 ms
Frame 82 time: 63.033 ms
Frame 83 time: 30.264 ms
Frame 84 time: 52.102 ms
Frame 85 time: 42.435 ms
Frame 86 time: 67.214 ms
Frame 87 time: 29.361 ms
Frame 88 time: 35.207 ms
Frame 89 time: 54.356 ms
Frame 90 time: 36.754 ms
Frame 91 time: 69.324 ms
Frame 92 time: 46.385 ms
Frame 93 time: 73.875 ms
Frame 94 time: 27.423 ms
Frame 95 time: 35.218 ms
Frame 96 time: 32.232 ms
Frame 97 time: 29.005 ms
Frame 98 time: 32.206 ms
Frame 99 time: 34.357 ms
Frame 100 time: 28.030 ms
Frame 101 time: 31.327 ms
Frame 102 time: 34.230 ms
Frame 103 time: 80.776 ms
Frame 104 time: 107.939 ms
Frame 105 time: 47.267 ms
Frame 106 time: 44.175 ms
Frame 107 time: 59.577 ms
Frame 108 time: 30.425 ms
Frame 109 time: 41.243 ms
Frame 110 time: 29.834 ms
Frame 111 time: 67.821 ms
Frame 112 time: 71.046 ms
Frame 113 time: 41.822 ms
Frame 114 time: 37.234 ms
Frame 115 time: 33.291 ms
Frame 116 time: 28.341 ms
Frame 117 time: 36.429 ms
Frame 118 time: 28.721 ms
Frame 119 time: 78.087 ms
Frame 120 time: 27.651 ms
Frame 121 time: 27.366 ms
Frame 122 time: 59.334 ms
Frame 123 time: 36.218 ms
Frame 124 time: 28.782 ms
Frame 125 time: 66.591 ms
